# Transcript for New Recording 20.m4a
# Language: ru, prob=1.00

[   0.72 -    3.76] А переходим в периоде, Арново и Ардеку.
[   3.76 -    7.28] То есть здесь визуально это и он.
[   8.56 -    9.76] Ты легко.
[  10.32 -   11.92] Мне нравится это слово.
[  11.92 -   12.96] Переход.
[  12.96 -   14.32] Где-нибудь первое переход.
[  14.32 -   15.76] Да, да, да, да, да.
[  15.76 -   33.54] Не дорогость.
[  33.54 -   34.54] Да, я понимаю.
[  35.90 -   45.47] Здесь смысл вот эти двух рядят.
[  46.27 -   50.47] В их индивидуальном почерке.
[  50.47 -   52.47] Где...
[  52.47 -   57.47] Кодом является Арнов, Ардеку.
[  58.47 -   60.47] Индивидальный почерк.
[  60.47 -   64.47] Не просто мы смотрим на линский и не просто мы смотрим.
[  64.47 -   65.47] Прегре.
[  65.47 -   68.47] А мы смотрим, что есть некая судь, Ардеку,
[  68.47 -   70.47] которая развивается.
[  70.47 -   72.47] Вы индивидальным почерке того и другого.
[  72.47 -   74.47] То есть это са-то са-то са-то в лине.
[  74.47 -   78.47] Двух индивидуальдек, почерков, судь, у которых.
[  78.47 -   80.47] Устил это про негричное, что все хорошо.
[  80.47 -   81.47] Чертка.
[  81.47 -  103.46] Убери, а февитивы, русский, не любит это.
[ 103.46 -  109.42] Хорошо.
[ 109.42 -  113.42] Антек с 7,5 выставки с сам.
[ 113.42 -  115.42] Ты что, что это?
[ 115.42 -  117.42] Ты что, что это?
[ 117.42 -  118.42] Ты что, что это?
[ 118.42 -  119.42] Да.
[ 119.42 -  128.58] Да.
[ 128.58 -  130.58] Паралерик с мизонами.
[ 130.58 -  132.58] Нет, мы сейчас не стереотважаем.
[ 132.58 -  133.58] Сейчас только...
[ 133.58 -  135.58] Повак ты очень много уже сказала, поделал.
[ 135.58 -  136.58] Повак.
[ 136.58 -  142.22] А вот это вот не то.
[ 143.22 -  144.22] Это и это.
[ 144.22 -  149.75] То есть выстанавливает вот этот вот это не повтор наш.
[ 149.75 -  152.19] Бункт.
[ 152.19 -  155.19] Вот этот второй и второй здесь.
[ 155.19 -  158.72] Здесь мы.
[ 158.72 -  159.72] Так.
[ 159.72 -  160.72] Мизон.
[ 160.72 -  161.72] Мизон, а Джи.
[ 161.72 -  162.72] Единственные.
[ 162.72 -  163.72] Все.
[ 163.72 -  164.72] Вот он.
[ 164.72 -  165.72] Только не зон.
[ 165.72 -  175.34] А вот это сюда ламперий,
[ 175.34 -  177.34] Сову убирает только сербская.
[ 177.34 -  180.34] И а кости, это не ламперий.
[ 180.34 -  183.34] Вамперий, это только хривишки.
[ 184.34 -  185.34] Ага.
[ 185.34 -  186.34] Ага.
[ 186.34 -  190.26] Ага.
[ 190.26 -  191.26] Ага.
[ 191.26 -  192.26] Ага.
[ 192.26 -  193.26] Ага.
[ 193.26 -  194.26] Ага.
[ 194.26 -  195.26] А кости, когда здесь бы какую.
[ 195.26 -  198.26] Сову сочтание.
[ 198.26 -  201.54] Связанная с тем, что.
[ 201.54 -  202.54] На редулус с этим человеческом модернизмом.
[ 202.54 -  204.54] Алоор, алта создал.
[ 204.54 -  210.54] Знерная, пространство для искусства.
[ 210.54 -  213.54] Соединяя в себе.
[ 213.54 -  214.54] Да?
[ 214.54 -  215.54] И Горири.
[ 218.61 -  220.61] Это желой дом.
[ 220.61 -  222.61] Лучше логай.
[ 223.61 -  224.61] Горири.
[ 224.61 -  226.61] Да.
[ 226.61 -  227.61] При этом.
[ 227.61 -  229.61] Это Джито.
[ 229.61 -  230.61] Легца.
[ 230.61 -  231.61] Легца.
[ 231.61 -  232.61] Да.
[ 232.61 -  234.61] В сцене да.
[ 234.61 -  236.61] В важные дежатства.
[ 236.61 -  237.61] Да.
[ 237.61 -  238.61] Это сцену.
[ 238.61 -  239.61] Исследовцю.
[ 239.61 -  241.61] Его.
[ 241.61 -  242.61] Бытовой дом.
[ 242.61 -  243.61] Человечный.
[ 243.61 -  245.61] Так же становится одновременно.
[ 245.61 -  247.61] И Горири.
[ 247.61 -  250.61] что ориентация начал овечность.
[ 250.61 -  252.61] Да, ага, exactly.
[ 252.61 -  253.61] На этом есть.
[ 253.61 -  255.61] В этом очень большую интерес.
[ 255.61 -  256.61] Да.
[ 256.61 -  258.61] Я передам попробую.
[ 258.61 -  264.61] Придметов Артег надо убрать, потому что я совершенно не уверена,
[ 264.61 -  268.61] что мы видим предметы и виновопоченные Артег.
[ 268.61 -  274.61] Здесь, а здесь, я не знаю, что после этого...
[ 275.61 -  277.61] Я уберу, но мы с тобой заможете посмотреть, что ладно?
[ 277.61 -  278.61] Да.
[ 278.61 -  279.61] Да.
[ 279.61 -  282.02] Но там...
[ 282.02 -  284.02] Я, например, интересно.
[ 284.02 -  285.02] Не столько, Артег.
[ 285.02 -  286.02] Пойдет или нет?
[ 286.02 -  291.67] Ну, надо исследовать.
[ 291.67 -  293.67] И надо туда убиться. Посмотрите.
[ 293.67 -  295.67] Не, если я уберу, но...
[ 295.67 -  297.67] Попробую, как выглядит.
[ 297.67 -  309.01] Да, и вот мне кажется, я хочу вот какую-то вот такую тонн.
[ 309.01 -  310.01] Понимаешь?
[ 310.01 -  311.01] Посмотри.
[ 311.01 -  312.01] Понимаю. Сподпоменько.
[ 312.01 -  313.01] Что я переста?
[ 313.01 -  320.02] Смотри.
[ 320.02 -  324.02] На мой взгляд, не очень, как бы складывается.
[ 324.02 -  325.02] Да.
[ 325.02 -  327.02] Да, да, брожилательная гономика.
[ 327.02 -  329.02] Радиосовый Сот. Это бурет и историки.
[ 329.02 -  330.02] В ту характер.
[ 330.02 -  333.02] А, радиосовый Сот.
[ 333.02 -  335.02] И, это бурет и это разные темы.
[ 335.02 -  339.02] Это бурет и это уже из деревья.
[ 339.02 -  341.02] А радиосовый Сот. Это метод.
[ 341.02 -  344.02] То есть, оты их вместе сомещаются.
[ 344.02 -  347.02] Поэтому здесь можно...
[ 347.02 -  348.02] Да, я...
[ 348.02 -  352.02] Да, здесь можно просто ограничиться.
[ 352.02 -  354.02] Словом, да, прожилательная гономика.
[ 354.02 -  356.02] Габожилательная гономика.
[ 356.02 -  362.18] И...
[ 362.18 -  364.18] То есть, в сторону, кробузия.
[ 364.18 -  365.18] Ну да.
[ 365.18 -  366.18] Если...
[ 366.18 -  368.18] Да. Давай, дальше.
[ 368.18 -  371.18] А вот этот женская взгляд, это куда пойдет.
[ 371.18 -  376.18] Мы к сожалению к Эллингре, никуда не попадаем.
[ 376.18 -  379.18] К сожалению.
[ 379.18 -  381.18] И это я только могу там...
[ 381.18 -  382.18] И потом, да.
[ 382.18 -  383.18] И мне как-то очень хочется...
[ 383.18 -  386.18] У меня тоже хочется, но я пока не понимаю.
[ 386.18 -  388.18] Да, да. Пока.
[ 388.18 -  391.18] Там, да. Там, здорово, волбас сделать вот эту вот выход.
[ 391.18 -  396.18] А... когда... вот этот вот выход был очень важен.
[ 396.18 -  403.18] И так, выставка 1925 года, где показан польшный.
[ 403.18 -  408.18] Классический ордеко в обногих...
[ 408.18 -  409.18] А...
[ 409.18 -  414.05] Не знаю, это, да, да.
[ 414.05 -  415.05] Успеди, появленно.
[ 415.05 -  417.05] В обногих появленно.
[ 417.05 -  420.05] И здесь же показан параллель.
[ 420.05 -  421.05] А...
[ 421.05 -  425.05] Тово же, как бы подхода, ордеко, но другая вид,
[ 425.05 -  427.05] это лекрбизия.
[ 427.05 -  429.52] Спит.
[ 429.52 -  430.52] Ну вот.
[ 430.52 -  431.52] Да.
[ 431.52 -  432.52] Понимаю.
[ 432.52 -  433.52] Да.
[ 433.52 -  434.52] Да.
[ 434.52 -  435.52] В большей степени.
[ 435.52 -  437.52] Я бы сюда не стало...
[ 439.52 -  440.52] Пасюда пока.
[ 440.52 -  441.52] Потом я там хочу.
[ 442.52 -  443.52] А это понимает, что...
[ 443.52 -  445.52] Мой темы, я хочу как-то отчеловечить.
[ 445.52 -  448.52] О, я понимаю, ну вот здесь вот здесь.
[ 448.52 -  451.52] Был бы интересно сказать о том, что мы поговорим о том,
[ 451.52 -  455.52] о том, что ордеко начинает делиться на...
[ 455.52 -  456.52] о...
[ 456.52 -  457.52] о...
[ 457.52 -  458.52] две вещи.
[ 458.52 -  460.52] ордеко, ордекошная...
[ 460.52 -  461.52] И...
[ 461.52 -  462.52] ордеко.
[ 462.52 -  463.52] Дорогой модернизим.
[ 463.52 -  466.52] Это рекорбизия, Ильм Грей.
[ 466.52 -  467.52] О...
[ 467.52 -  469.52] И много, в основе, деланы.
[ 469.52 -  470.52] И тогда, что...
[ 470.52 -  471.52] И мне не надо мне знать.
[ 471.52 -  475.52] То есть, здесь очень важно сделать вот такой вот...
[ 475.52 -  480.52] Кему, когда на этой выставке отражаются параллели,
[ 480.52 -  484.52] разного по нему они, что такое дэко,
[ 484.52 -  486.52] в современном пространстве.
[ 486.52 -  490.52] Дэко для ордекошных декошников.
[ 490.52 -  492.52] А...
[ 492.52 -  493.52] А...
[ 493.52 -  494.52] А...
[ 494.52 -  497.52] Всего возможных орнаментов,
[ 497.52 -  501.52] которые в ментре, богатых материалов и тогдащих.
[ 501.52 -  502.52] А...
[ 502.52 -  503.52] Дэко...
[ 503.52 -  504.52] В...
[ 504.52 -  505.52] Понимание.
[ 505.52 -  507.52] Дорогих модернизтов.
[ 507.52 -  510.52] И это все-таки более очищенный взгляд.
[ 510.52 -  512.52] Дорогие материалы остаются.
[ 512.52 -  514.52] Но их становится минимум.
[ 514.52 -  517.52] И там есть в большей степени селекции.
[ 517.52 -  519.52] Селекции выбора.
[ 519.52 -  520.52] Вот такое.
[ 520.52 -  521.52] И...
[ 521.52 -  522.52] Здесь...
[ 522.52 -  523.52] Я тебе...
[ 523.52 -  525.52] Я пришлю прям как называется.
[ 525.52 -  527.52] crackк...
[ 527.52 -  531.52] Когда они разделились...
[ 531.52 -  532.52] помешите сказать.
[ 532.52 -  533.40] Они просто разделились,
[ 533.40 -  534.52] то есть ни все стали...
[ 534.52 -  536.52] mac⋯ Rama,
[ 536.52 -  537.52] которые работали等ные выставки.
[ 537.52 -  538.52] Оставились вместе.
[ 538.52 -  541.52] Вот здесь произошло вот эту потрясающим вот Kazuto.
[ 541.52 -  542.52] Дараздел.
[ 542.52 -  545.96] По которой мы сейчас видим эту 개인 потерп causing
[ 545.96 -  546.52] а которой содержести декое.
[ 546.52 -  548.52] Кто-то...
[ 548.52 -  549.52] А...
[ 549.52 -  550.52] А Dept.
[ 550.52 -  552.52] Вот этого...
[ 552.52 -  554.52] that nobody на Гой��.
[ 554.52 -  560.72] Остался, но это, ну, варешная тема, не знаю, как сказать, ну, ты скажешь так,
[ 560.72 -  567.96] Ард и Кок, а стиль великого дэдспи. Вот это вот, да, классическая тема, а дыко.
[ 567.96 -  578.76] Гетский, гетский, гетский, гетский, а лекрбзия, в которой делает на самом деле,
[ 578.76 -  589.76] отдельные дома. Это тоже довольно богатые дома, это не один макратический путь, как у
[ 589.76 -  598.60] конструктивистов или как баллов. Я, конечно, делать вилу, а вилы, да, я бы не знаю, я знаю,
[ 598.60 -  604.04] это разницу, но там везде русскими, да, да, да, вот это вот, везде, это прекрасен,
[ 604.04 -  615.20] вот, вот, здесь, вот, дать, то вот глубину понимания, что Ард и Ко, на самом деле, на
[ 615.20 -  626.12] Гранен, и существует несколько визуальных позиций, и это будем рассматривать, раскрывать
[ 626.12 -  635.08] это сильно, не нужно, но понять, что есть суть, а да, мне, ну, да, можно пертим, как тебе, да,
[ 635.08 -  645.00] стаживаться, да, да, может быть, ты уже уловила, скорее всего, ловила, что мы этим, например,
[ 645.00 -  661.13] следующая, можно ли зайти в эту историю, можно ли в этом монстре видеть человека,
[ 661.13 -  670.41] это очень сложная ардеконна, может быть, очень эклектичное время, очень сложное, очень сложное,
[ 670.41 -  677.17] это не такая манальдная история, как какие-то какие-то предыдущие вещи, сейчас подожди, подожди,
[ 677.17 -  685.65] я, в городскажу, есть очень много, много чего не человеческого, ярическая, индустриальна, это
[ 685.65 -  693.73] Гаря, и мне интересно, но и Ардекон, который дизем Лея, креальности, но так же женского,
[ 693.73 -  702.89] если увода. Слушай, но, большому счёту, Ардекон по большому счёту, человечен, с очень разным
[ 702.89 -  710.37] пониманием того, потому что даже пышная ордекон в стиле великого гость, видавать так, это будет называть,
[ 710.37 -  717.33] ну что было понятно, да, я без волка, этого всего, это всё равно, радично, это тема эскопизма,
[ 717.33 -  726.01] это тема ухода от реальности, это тема, когда люди нашли, а путь для того, чтобы чувствовать себя,
[ 726.01 -  736.25] оптимистами или показывать, что они оптимисты между будто истилетиями, одним, дистилетиями,
[ 736.25 -  745.09] ну, мя, дистилетиями, войны, да, то есть тогда, когда вот это было, а и гуляр вонина, вот это вот
