# Transcript for New Recording 21.m4a
# Language: ru, prob=1.00

[   0.53 -    4.85] на пятый день для самостоятельно-авторский подробный гайд
[   4.85 -    6.65] в пятый день, для самостоятельно...
[   7.65 -   11.01] Как бы сказать, для самостоятельного изучения,
[  11.01 -   16.00] как бы вот, когда люди...
[  16.00 -   25.18] Самостоятельное изучение немножко не так,
[  25.18 -   26.94] немножко плохо звучит,
[  26.94 -   30.14] а здесь мы даем направление...
[  30.14 -   33.26] Люди с мысл в отчем, люди
[  34.14 -   40.98] видят то направление, которое мы для них выбрали,
[  41.70 -   42.98] понимают...
[  42.98 -   46.98] И там очень много, то есть у них есть возможность выбрать
[  46.98 -   48.98] варианты.
[  48.98 -   52.98] Ну, короче, мы даем гайд на пятый день авторский,
[  52.98 -   54.98] можно проще, а там внутри уже будут скажут...
[  54.98 -   58.98] Не надо вот эти сложные слова,
[  58.98 -   62.98] всякие на мой взгляд.
[  62.98 -   64.98] Друзья, еще раз пока вот,
[  64.98 -   66.98] по тому, что мы видим, значит,
[  66.98 -   68.98] слишком мелкие даты, так?
[  68.98 -   72.98] Да, да, я тоже думаю...
[  72.98 -   74.98] Слушай, вот это что такое, ваш код телекрам,
[  74.98 -   76.98] что это должно сделать?
[  76.98 -   78.98] Да, раздельно по очереди.
[  78.98 -   80.98] Мы сейчас сделаем это дело,
[  80.98 -   82.98] я решусь, не играл.
[  82.98 -   84.98] Ну, в общем, вот, да?
[  84.98 -   88.98] Я понял, нужно сделать крупнее даты, согласен.
[  88.98 -   94.98] Последняя дата, плюс, 18-е плюс, верно?
[  94.98 -   96.98] Да.
[  96.98 -  104.69] Гайд, вот вас, правильно?
[ 104.69 -  109.09] Повчитывайся, посмотри.
[ 109.09 -  111.09] Смотри.
[ 111.09 -  115.09] У тебя здесь как бы разбивка, да, крупная?
[ 115.09 -  117.09] Первый день современные мастера,
[ 117.09 -  120.09] второй исторический слой 20-30-х,
[ 120.09 -  122.09] тогда не нужно писать выставку,
[ 122.09 -  126.09] либо ты пишешь исторический слой
[ 126.09 -  131.09] выставка 1925 года
[ 131.09 -  136.09] и через и пятая выставка 1937 года,
[ 136.09 -  139.09] ну, потому что мы говорили об этом.
[ 139.09 -  144.09] А Элен, да, третий, Мезон и Абдже,
[ 144.09 -  149.09] это тоже получается современный слой, да?
[ 149.09 -  153.09] Четвертая Алта, непонятно.
[ 153.09 -  155.09] То есть, что это, четвертый,
[ 155.09 -  157.09] человеческий модернизм,
[ 157.09 -  160.66] что это вообще такое?
[ 160.66 -  164.66] Алта, вот надо какое-то очень звонкое слово по этим дням.
[ 164.66 -  166.66] Кто это?
[ 166.66 -  171.22] Зачем он нам нужен?
[ 171.22 -  173.22] И либо как-то красиво завернуть,
[ 173.22 -  175.22] потому что покупатели таких программ
[ 175.22 -  179.22] не любят вот такие вот немного...
[ 179.22 -  181.22] подпережатые вещи.
[ 181.22 -  184.22] То есть это типа...
[ 184.22 -  186.22] человеческий дом для...
[ 186.22 -  188.22] у коррекционера современного искусства.
[ 188.22 -  191.22] Не знаю, что это вот такое.
[ 191.22 -  192.22] Какой это?
[ 192.22 -  194.22] Человек, чектуры, что-то вот такое.
[ 194.22 -  196.22] Вот, короче, что-то...
[ 196.22 -  198.22] Вот какая-то вот такая вот фраза.
[ 198.22 -  200.22] Или гениальные слова.
[ 200.22 -  202.22] Гениальные, пожалуйста.
